pid,label,artist,_date,object_type,affiliation,department,area_of_research_,Description,current_location,source,order,layout,collection,thumbnail,full,manifest
obj01,Stellar Swirls,Ezra Brooker,2020,Simulation,Graduate Student,Scientific Computing,Type Ia Supernovae Explosions (Astrophysics),"Turbulent eddies, or swirls, in a box of white dwarf star plasma that is partially ""burning"" via carbon fusion. This research is part of an effort in understanding the explosion mechanism of Type Ia supernovae, the cataclysmic deaths of white dwarf star corpses.",,,00,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj01/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj01/full/full/0/default.jpg,/img/derivatives/iiif/obj01/manifest.json
obj02,Seeing Red,Alex Robb,2020,DSLR,Graduate Student,Chemistry & Biochemistry,Photochemistry,"Pictured is an iron complex (iron(II) tris(2,2'-bipyridine)) dissolving in acetonitrile. This iron complex is blood red when dissolved in solution and has redox properties that are well-suited for high voltage photochemical applications such as solar cells or photoelectrochemical cells.",,,01,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj02/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj02/full/full/0/default.jpg,/img/derivatives/iiif/obj02/manifest.json
obj03,Watched Over By Angels,Bobbie Renfro,2019,DSLR,Graduate Student,Biology,Coral Reef Ecology,My work broadly focuses on the effects of human activities on coral reef ecosystems. More specifically I am interested in how nutrient enrichment from mismanaged waste water and fertilizers affects the sponges that inhabit the coral reef. These grey angelfish (Pomacanthus arcuatus) perused the reef around me as I assessed sponge populations in Belize. I make note of their numbers as these peaceful wanderers will graze on the sponges that I am tracking.,,,02,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj03/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj03/full/full/0/default.jpg,/img/derivatives/iiif/obj03/manifest.json
obj04,Bio-cultural Symmetry,Benjamin Stewart,2018,DSLR,Graduate Student,Anthropology,"Zooarchaeology, paleoethnobotany, environment and ecology, and households in archaeology","### Bronfenbrenner’s ecological systems theory and symmetrical archaeology are underlying principles and theoretical framework that looks at the arrangements of symmetrical relationships of human behaviors such as past and present, people and place, individuals and society, biology and culture in various systems. It is a way to view how humans are intrinsically interconnected to everything in our world. In this case, the relationship of my study is how humans are ""drivers"" or ""actors"" in complexities of nature, specifically in ecosystems. The symmetrical relationship between humans and plants, directly and indirectly, shape our environment and our culture. In this example, photographed is a purple coneflower (Echinacea purpurea) at this angle, in part, to demonstrate two observable phenomena. One is to show the symmetry found in nature as it is artistically photographed here and the other is the symmetrical relationship between humans and plants. E. purpurea was and is widely used by the Plains Indians and Choctaw Native Americans for a painkiller, cough treatment, and gastro-intestinal aid and later used as an immune-stimulant in modern medicine. This symmetrical relationship established that the human need for medicinal treatment which slowly turns into a symbiotic relationship making a connection between humans and plants. The connection then alters the environment indirectly to support both species. Then finally, the cultural aspect of humanity is imbued to the object, in this case, the purple coneflower creating the bio-cultural symmetrical relationship.",,,03,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj04/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj04/full/full/0/default.jpg,/img/derivatives/iiif/obj04/manifest.json
obj05,The Structural Network,Brandon Buck,2019,Microscope,Graduate Student,Biological Science,Cell and Molecular Biology; Genome Wide Chromatin Dynamics,"We wanted to investigate the role of a structural network formed during gene activation. In green are cells that allow the network to form, and in red are cells that are prevented from forming a network.",,,04,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj05/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj05/full/full/0/default.jpg,/img/derivatives/iiif/obj05/manifest.json
obj06,Perylene Planet,Erica Knorr,2020,Cell Phone Camera,Graduate Student,Chemistry,Photon Upconversion,This is the starting material needed to make substituted perylene diimide -- a molecule that has potential applications in solar cells.,,,05,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj06/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj06/full/full/0/default.jpg,/img/derivatives/iiif/obj06/manifest.json
obj07,Photoswitch,Noelle Watson,2019,Cell Phone Camera,Graduate Student,Chemistry and Biochemistry,Photochemistry,"Pictured is a reversible stimuli-responsive molecular switch. Application of an external stimuli (UV/visible light or an applied potential) can be used to switch between two different, thermodynamically stable forms. Molecular switches such as this one show great potential for applications in logic gates, photochromics, and sensing.",,,06,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj07/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj07/full/full/0/default.jpg,/img/derivatives/iiif/obj07/manifest.json
obj08,Chemistry is ~cool~,Ashley Arcidiacono,2019,DSLR,Graduate Student,Chemistry,Physical Chemistry,"Chemistry is cool... quite literally in this image! Here, you see a cryogenic cuvette with a fluorescent sample placed inside. With the help of this cuvette and a cryostat, we are able to monitor complex light-matter phenomenon at temperatures as low as 77 K. Using temperature dependent measurements, the Hanson Group is able to better understand kinetics that largely impact the effectiveness of dye-sensitized solar cells, and thus work to improve them.",,,07,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj08/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj08/full/full/0/default.jpg,/img/derivatives/iiif/obj08/manifest.json
obj09,Neuronal Signaling of the Cerebellar-like Organoid Cells,Timothy Hua,2019,Microscope,Graduate Student,Chemistry and Biochemistry,Organoid differentiation and brain cancer research,Human-induced pluripotent stem cells (HiPSCs) can differentiate into any cell types within the human body. They have been used to generate various organoid models that mimic the organs of interest such as the brain for development studying and disease modeling. The cerebellum (small brain) is located at the back of the brain and controls body movement and posture. HiPSCs were used to derived cerebellar-like organoids that contain the cerebellum specific cells. The organoids cells were allowed for attaching to a coated surface before staining for different neuronal markers. This image shows that the cells not only had neuronal axon (green) but also were positive for glutamate (red). Glutamate is one of the neurotransmitters that is responsible for over 90% of neuronal communication within the brain. These brain organoids will allow us to model human neurodegenerative diseases and cancer.,,,08,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj09/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj09/full/full/0/default.jpg,/img/derivatives/iiif/obj09/manifest.json
obj10,Bottled Lightning,Nikolas Dos Santos,2019,DSLR,Graduate Student,Chemistry,Physical organic synthesis,"The picture shows well defined crystals of 4,4'-((1E,1'E)-(4,6-dimethyl-1,3-phenylene)bis(ethene-2,1-diyl))bis(methylbenzene) under 310nm light. these crystals direct light through its center towards its edges like fiber optics. this structure will be used to form a substituted pyrene containing its substitutions in positions that are very scarce of examples. this material is one of many examples being synthesized for the development of a new method of assembling substituted pyrene cores.",,,09,qatar_item,artinSTEM,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj10/full/full/0/default.jpg,/img/derivatives/iiif/obj10/manifest.json
