pid,label,artist,_date,object_type,affiliation,department,area_of_research,description,current_location,research_group,order,layout,collection,thumbnail,full,manifest
obj69,Precipitation in (Quasi)2D,Amari Morris,2023,Camera,Graduate Student,Chemistry and Biochemistry,"Physical Chemistry, Inorganic Chemistry","This art was done in a 2D Heleshaw cell. The picture is sodium silicate and cobalt chloride reaction that creates a precipitate. The patterns and colors of this reaction are determined by concentration, the flow rate and solvents. The growth of precipitates can help with the understanding of many biological systems.",,<a href=&#x0022;https://www.chem.fsu.edu/~steinbock/&#x0022;>Dr. Oliver Steinbock</a>,00,qatar_item,art2023,"/img/derivatives/iiif/images/obj69/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj69/full/1140,/0/default.jpg",/img/derivatives/iiif/obj69/manifest.json
obj70,X-ray of a Protein!,Madhurima Bhattacharya,2023,Microscope,Graduate Student,Molecular Biophysics,Structural Biology,"NS2B3 is a pair molecular scissors used by dengue virus to cleave human protein cGAS so that it can survive and establish infection in the host cell. Here, we have determined the molecular structure of the active site mutant of NS2B3 (on the right). On the left-hand side, we have the picture of NS2B3 mutant protein crystals on which X-ray diffraction data was collected.",,<a href=&#x0022;https://www.bio.fsu.edu/faculty.php?faculty-id=yin&#x0022;>Dr. Qian Yin</a>,01,qatar_item,art2023,"/img/derivatives/iiif/images/obj70/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj70/full/1140,/0/default.jpg",/img/derivatives/iiif/obj70/manifest.json
obj71,The Edge,Maggie Cooper,2021,Microscope,Graduate Student,Chemistry and Biochemistry,"Physical Chemistry, Non-Linear Dynamics","The growing edge of an inorganic precipitate membrane composed entirely of nickel and magnesium hydroxides. Such mineral surfaces exist within the walls of deep-sea hydrothermal vents and on the rocky surfaces of extraterrestrial worlds. These chemical gardens have captivated us since the days of the alchemists, and for good reason, as they just may hold the keys to the origins of life itself.",,<a href=&#x0022;https://www.chem.fsu.edu/~steinbock/&#x0022;>Dr. Oliver Steinbock</a>,02,qatar_item,art2023,"/img/derivatives/iiif/images/obj71/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj71/full/1140,/0/default.jpg",/img/derivatives/iiif/obj71/manifest.json
obj72,Unraveling the Mechanisms of HIV-1 Nuclear Import,Asha Maria Mathew,2023,Microscope,Postdoctoral Researcher,Biological Science,Virology,"The picture features HIV localization inside the TZMbl cell nucleus. Green dots represent the virus, and the nuclear speckle proteins SON and CPSF6 are blue and red in color . We are passionately studying our bit to understand the interaction of HIV-1  with different cellular proteins. As you see this image, I hope you take time to reflect on strategies for creating collective impact towards destigmatizing HIV/AIDS and working towards finding a cure. Let’s stop HIV together.
Left: HIV localization inside the TZMbl cell nucleus. Right: 3D image of the same cell.",,<a href=&#x0022;https://www.bio.fsu.edu/faculty.php?faculty-id=acfrancis&#x0022;>Dr. Ashwanth Francis</a>,03,qatar_item,art2023,"/img/derivatives/iiif/images/obj72/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj72/full/1140,/0/default.jpg",/img/derivatives/iiif/obj72/manifest.json
obj73,Laurel Precedence,Adam Campbell,2021,Cell Phone Camera,Graduate Student,Chemistry and Biochemistry,Organic Chemistry,"This is the crude mixture of a reaction I ran on relatively simple molecules to create precedence for doing the reaction on more complex and valuable molecules for reaction development. After getting the information I needed from the crude mixture, I accidentally left it in the back of my fume hood for about a month, and then looked into the round bottom flask it was in to find these crystalline projections had formed in a pattern that somewhat resembles the laurel leaves often found on medals. While the reaction itself certainly isn’t Nobel-worthy, I still take it as a good omen for things to come.",,<a href=&#x0022;https://www.chem.fsu.edu/~alabugin/index_update20200310.html&#x0022;>Dr. Igor Alabugin</a>,04,qatar_item,art2023,"/img/derivatives/iiif/images/obj73/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj73/full/1140,/0/default.jpg",/img/derivatives/iiif/obj73/manifest.json
obj74,A Captivating Display of Protein Crystals,Charlisa Whyms,2020,Microscope,Graduate Student,Chemistry and Biochemistry,Structural Biology,This photo captures beautiful bioluminescent protein crystals under a microscope. My research aims to understand how proteins do their jobs by determining what they look like (their structure) using X-rays to take a picture of the protein that is packed in the crystal.,,<a href=&#x0022;http://biophysics.fsu.edu/hongli/&#x0022;>Dr. Hong Li</a>,05,qatar_item,art2023,"/img/derivatives/iiif/images/obj74/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj74/full/1140,/0/default.jpg",/img/derivatives/iiif/obj74/manifest.json
obj75,Mighty War  Against the Pandemic of Plastic Consumption,Sonia Kiran,2022,Microscope,Graduate Student,Chemistry and Biochemistry,Immunotherapy and Stem-cell Differentiation,"This piece of art shows the accumulation of plastic particles within human cells. The potential health hazards of plastics in humans are largely unknown; however, they can certainly degrade into micro and nano sizes and enter the human body. This image was captured using a phase-contrast microscope and shows microplastics that are 1 µm in size having entered human neuron-like cells and surrounding the nucleus. This image speaks out loud that if we do not control our plastic consumption, the day is not far when humans will become ""plastic humans.""",,<a href=&#x0022;https://www.chem.fsu.edu/~sang/&#x0022;>Dr. Qing-Xiang Amy Sang</a>,06,qatar_item,art2023,"/img/derivatives/iiif/images/obj75/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj75/full/1140,/0/default.jpg",/img/derivatives/iiif/obj75/manifest.json
obj76,Isolated Cardiomyocyte,Aida Rahimi Kahmini,2023,Microscope,Graduate Student,Nutrition and Integrative Physiology,Cardiac Muscle and SSPN Protein,"We are studying the effects of common substances that can impact human cardiovascular health. In this picture, we are showing a cardiomyocyte that has been exposed to nicotine, an active compound found in cigarette smoke. We used fluorescence imaging to capture the cardiomyocyte that was loaded with Fura-2 a calcium indicator dye. Sometimes I can see these single cells still beating under the microscope!",,<a href=&#x0022;https://healthandhumansciences.fsu.edu/nutrition-integrative-physiology/parvatiyar-lab&#x0022;>Dr. Michelle Parvatiyar</a>,07,qatar_item,art2023,"/img/derivatives/iiif/images/obj76/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj76/full/1140,/0/default.jpg",/img/derivatives/iiif/obj76/manifest.json
obj77,Mouse Heart,Paula Nieto,2022,Cell Phone Camera,Graduate Student,Biomedical Sciences,Cardiac Muscle,"We study cardiomyopathies, diseases that affect the cardiac muscle, using mice models to study the pathogenesis of dilated cardiomyopathy and hypertrophic cardiomyopathy at the molecular, cellular and organ level. This picture was taken during a cardiomyocyte isolation experiment where we cannulate the aorta and perfuse the heart with an enzyme solution to ultimately obtain single cardiomyocyte cells. We can then measure calcium transients and contractility.",,<a href=&#x0022;https://med.fsu.edu/biosci/pinto-lab&#x0022;>Dr. Jose Pinto</a>,08,qatar_item,art2023,"/img/derivatives/iiif/images/obj77/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj77/full/1140,/0/default.jpg",/img/derivatives/iiif/obj77/manifest.json
obj78,Protein Decoration on Lipid Tubes,Behrouz Ghazi Esfahani,2023,Electron Microscope and Simulation,Graduate Student,Institute of Molecular Biophysics,Structural  Biology,Protein decoration on lipid nano-tubes is used to overcome air-water interface touch during cryoEM sample preparation and ensure capture of all of the angles from the same protein.,,<a href=&#x0022;https://www.stroupegroupfsu.com/&#x0022;>Dr. M. Elizabeth Stroupe </a>,09,qatar_item,art2023,"/img/derivatives/iiif/images/obj78/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj78/full/1140,/0/default.jpg",/img/derivatives/iiif/obj78/manifest.json
obj79,Monument to Failure: AKA Starting Over,Erica Knorr,2019-2023,Cell Phone Camera,Graduate Student,Chemistry and Biochemistry,Materials Chemistry,"Over the course of two years, I tried to make one set of molecules but was never successful. These are the surviving vials of my failed attempts because I finally cleaned them out of my drawer. Sometimes the best thing you can do for research is to step back, take a fresh look at the problem, and change direction.",,<a href=&#x0022;https://www.chem.fsu.edu/~hanson/&#x0022;>Dr. Ken Hanson</a>,10,qatar_item,art2023,"/img/derivatives/iiif/images/obj79/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj79/full/1140,/0/default.jpg",/img/derivatives/iiif/obj79/manifest.json
obj80,Electron Heart: An Intricate World Unveiled,Hosna Rastegarpouyani,2022,Microscope,Graduate Student,Biological Science,Structural Biology,"This image captures the incredible complexity and beauty of a heart cell at the microscopic level, as revealed through electron microscopy. Against a dark, abstract background, the cell’s intricate structures and organelles are depicted with stunning clarity and detail, showcasing the intricate web of life that powers the beating heart: From the cell’s densely-packed mitochondria to the delicate filaments that make up its cytoskeleton.",,<a href=&#x0022;https://www.bio.fsu.edu/faculty.php?faculty-id=taylor&#x0022;>Dr. Kenneth A. Taylor</a>,11,qatar_item,art2023,"/img/derivatives/iiif/images/obj80/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj80/full/1140,/0/default.jpg",/img/derivatives/iiif/obj80/manifest.json
obj81,Grown ‘Butterflies’ on a ‘Gold Mine.’,Oluwadara Olasupo,2022,Cell Phone Camera,Graduate Student,Chemistry and Biochemistry,"Materials Chemistry, Optoelectronics","A novel organic-inorganic hybrid semiconductor material developed in our laboratory was processed into a solution and crystals were grown from this solution by drop-casting on a hot plate at 153° Celsius. These types of hybrid crystals are now being studied and applied towards cheaper, more efficient, and environmentally-friendly optoelectronic applications such as X-ray imaging detectors, LEDs, solar cells, etc. 

Of particular significance to my research is their application in X-ray imaging towards safer health care, scientific/industrial research, and national security.",,<a href=&#x0022;https://www.chem.fsu.edu/~ma/People.html&#x0022;>Dr. Biwu Ma</a>,12,qatar_item,art2023,"/img/derivatives/iiif/images/obj81/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj81/full/1140,/0/default.jpg",/img/derivatives/iiif/obj81/manifest.json
obj82,Colorful Kernals,Kat Koirtyohann,2023,Cell Phone Camera,Graduate Student,Biological Science,Cell and Molecular Biology,"An assortment of maize seeds taken from the same ear. Each seed has its own DNA, a recombination of its two parent plants. This can be easily seen by the variety of colors found on the same ear. Pictured here are clear (yellow) and purple seeds.",,<a href=&#x0022;https://www.bio.fsu.edu/faculty.php?faculty-id=mcginnis&#x0022;>Dr. Karen McGinnis</a>,13,qatar_item,art2023,"/img/derivatives/iiif/images/obj82/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj82/full/1140,/0/default.jpg",/img/derivatives/iiif/obj82/manifest.json
obj83,Ice Particles in the Superfluid Flow,Toshiaki Kanai,2023,High-speed Camera,Graduate Student,Physics,Low-temperature Physics,"These are tiny solidified hydrogen particles used to make the flow of superfluid helium visible. When liquid helium is cooled below a critical temperature of around -450.20° Fahrenheit (2.17 Kelvin), it becomes a superfluid with zero viscosity. In regular fluids, tracer particles are carried along by viscous forces to visualize flows, but this method does not work in superfluid helium due to zero viscosity. Instead, the particles become trapped by vortices (i.e., tiny whirlpools), allowing researchers to observe the ""invisible"" flow. The original video was created September 2022. This picture was clipped March 2023.",,<a href=&#x0022;https://nationalmaglab.org/research/research-groups/cryogenics/&#x0022;>National High Magnetic Field Laboratory Cryogenics Group</a>,14,qatar_item,art2023,"/img/derivatives/iiif/images/obj83/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj83/full/1140,/0/default.jpg",/img/derivatives/iiif/obj83/manifest.json
obj84,Meet Flexible Octopus-Sulfite Reductase,Nidhi Walia,2022,"DENSS Software Using Scattering Data, AlphaFold, PDB, ChimeraX",Graduate Student,Biological Science,"Structural Biology, Biochemistry and Molecular Biology","Left: Sulfite reductase flavoprotein, eight subunits (blue), N-terminal helical bundle (pink). Flavoprotein envelope is generated using small angel neutron scattering data (light blue). Middle: Sulfite reductase hemoprotein, four subunits (green). Hemoprotein envelope is generated using small angel neutron scattering data (light green). Right: Sulfite reductase (grey) superimposed with sulfite reductase flavoprotein (blue) and sulfite reductase hemoprotein (green).


Sulfite reductase (SiR) is a flexible oxidoreductase that performs six-electron reduction by converting sulfite to bioavailable sulfide. SiR is a dodecamer, composed of eight copies of flavoprotein and four copies of hemoprotein. We have used small angle neutron scattering (SANS) technique to understand the higher order assembly of this dodecamer. SANS allowed us to model eight copies of flavoprotein for the first time. Structural studies will help us to understand the structure-function relationship of SiR.",,<a href=&#x0022;https://www.stroupegroupfsu.com&#x0022;>Dr. M. Elizabeth Stroupe</a>,15,qatar_item,art2023,"/img/derivatives/iiif/images/obj84/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj84/full/1140,/0/default.jpg",/img/derivatives/iiif/obj84/manifest.json
obj85,Bioinformatics,Rituparna Khan,2023,Phonto app for iPad/iOS,Graduate Student,Computer Science,"Computational Biology, Bioinformatics","Bioinformatics assists in solving biological problems with the help of algorithms, statistical analysis and coding. This art piece indicates that we can study the DNA, RNA, or protein structures through the eyes of computer science or coding. It is a field where biology and computer science are merged. My research is focused on finding mutations that can lead to cancer on single cell DNA and RNA with the help of statistical analysis. With these statistical analyses and coding, we can predict or detect mutations which might be otherwise difficult to diagnose. I created this art piece by merging pictures from National Cancer Institute, 10X Genomics Visium and Unsplash.",,<a href=&#x0022;https://www.cs.fsu.edu/~fan/&#x0022;>Dr. Xian Mallory</a>,16,qatar_item,art2023,"/img/derivatives/iiif/images/obj85/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj85/full/1140,/0/default.jpg",/img/derivatives/iiif/obj85/manifest.json
obj86,Complex Interaction of Colorectal Cancer Cells Signaling Immune Cells Towards the Malignant Tumor,Ishwaree Datta,2022,Microscope,Graduate Student,Biological Science,Colorectal Cancer in Drosophila Larval Hindgut,"This art piece shows the very intriguing phenomenon of communication between immune cells, also known as hemocytes or blood cells, being attracted to colorectal cancer cells. The tumor cells have green fluorescent protein, which gives them a deep green color, while the blue is because of DAPI, which stains the nucleus of cells. The immune cells moving toward the tumor are marked by red antibody stain.",,<a href=&#x0022;https://www.bio.fsu.edu/faculty.php?faculty-id=ebangi&#x0022;>Dr. Erdem Bangi</a>,17,qatar_item,art2023,"/img/derivatives/iiif/images/obj86/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj86/full/1140,/0/default.jpg",/img/derivatives/iiif/obj86/manifest.json
